antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'CaO_1'}),frozenset({'SrO_1'}),0.33,0.41,0.14,0.44,1.07,0.01,1.05
frozenset({'Na2O_0'}),frozenset({'PbO_1'}),0.8,0.41,0.35,0.44,1.07,0.02,1.05
frozenset({'K2O_0'}),frozenset({'SiO2_0'}),0.61,0.33,0.27,0.43,1.33,0.07,1.19
frozenset({'SO2_0'}),frozenset({'PbO_1'}),0.9,0.41,0.39,0.43,1.06,0.02,1.04
frozenset({'SiO2_1'}),frozenset({'Fe2O3_1'}),0.29,0.27,0.12,0.43,1.62,0.05,1.29
frozenset({'P2O5_1'}),frozenset({'CuO_1'}),0.29,0.22,0.12,0.43,1.91,0.06,1.36
frozenset({'CuO_0'}),frozenset({'Al2O3_1'}),0.71,0.41,0.31,0.43,1.05,0.01,1.04
frozenset({'CuO_0'}),frozenset({'SiO2_2'}),0.71,0.39,0.31,0.43,1.11,0.03,1.07
frozenset({'Al2O3_0'}),frozenset({'SiO2_0'}),0.53,0.33,0.22,0.42,1.3,0.05,1.17
frozenset({'BaO_0'}),frozenset({'PbO_1'}),0.78,0.41,0.33,0.42,1.03,0.01,1.02
frozenset({'K2O_1'}),frozenset({'P2O5_1'}),0.35,0.29,0.14,0.41,1.44,0.04,1.21
frozenset({'Na2O_0'}),frozenset({'Al2O3_1'}),0.8,0.41,0.33,0.41,1.01,0.0,1.0
frozenset({'Na2O_0'}),frozenset({'SiO2_0'}),0.8,0.33,0.33,0.41,1.26,0.07,1.14
frozenset({'SO2_0'}),frozenset({'SiO2_2'}),0.9,0.39,0.37,0.41,1.06,0.02,1.04
frozenset({'Al2O3_1'}),frozenset({'SiO2_1'}),0.41,0.29,0.16,0.4,1.4,0.05,1.19
frozenset({'Fe2O3_0'}),frozenset({'SiO2_2'}),0.71,0.39,0.29,0.4,1.03,0.01,1.02
frozenset({'Al2O3_1'}),frozenset({'K2O_1'}),0.41,0.35,0.16,0.4,1.15,0.02,1.09
frozenset({'PbO_1'}),frozenset({'P2O5_1'}),0.41,0.29,0.16,0.4,1.4,0.05,1.19
frozenset({'PbO_1'}),frozenset({'CaO_1'}),0.41,0.33,0.16,0.4,1.23,0.03,1.12
frozenset({'Al2O3_1'}),frozenset({'P2O5_1'}),0.41,0.29,0.16,0.4,1.4,0.05,1.19
frozenset({'MgO_1'}),frozenset({'K2O_1'}),0.47,0.35,0.18,0.39,1.13,0.02,1.07
frozenset({'Na2O_0'}),frozenset({'CaO_1'}),0.8,0.33,0.31,0.38,1.18,0.05,1.09
frozenset({'Fe2O3_1'}),frozenset({'CaO_1'}),0.27,0.33,0.1,0.38,1.18,0.02,1.09
frozenset({'Fe2O3_1'}),frozenset({'K2O_1'}),0.27,0.35,0.1,0.38,1.11,0.01,1.06
frozenset({'Fe2O3_1'}),frozenset({'P2O5_1'}),0.27,0.29,0.1,0.38,1.35,0.03,1.16
frozenset({'Fe2O3_1'}),frozenset({'CaO_2'}),0.27,0.14,0.1,0.38,2.69,0.06,1.39
frozenset({'SiO2_0'}),frozenset({'PbO_2'}),0.33,0.12,0.12,0.38,3.06,0.08,1.4
frozenset({'Fe2O3_0'}),frozenset({'SiO2_0'}),0.71,0.33,0.27,0.37,1.14,0.03,1.07
frozenset({'BaO_0'}),frozenset({'K2O_1'}),0.78,0.35,0.29,0.37,1.06,0.02,1.03
frozenset({'MgO_0'}),frozenset({'SiO2_1'}),0.51,0.29,0.18,0.36,1.26,0.04,1.12
frozenset({'MgO_0'}),frozenset({'SiO2_0'}),0.51,0.33,0.18,0.36,1.1,0.02,1.05
frozenset({'Na2O_0'}),frozenset({'P2O5_1'}),0.8,0.29,0.29,0.36,1.26,0.06,1.11
frozenset({'Na2O_0'}),frozenset({'K2O_1'}),0.8,0.35,0.29,0.36,1.03,0.01,1.02
frozenset({'SiO2_1'}),frozenset({'P2O5_1'}),0.29,0.29,0.1,0.36,1.25,0.02,1.11
frozenset({'P2O5_1'}),frozenset({'SiO2_1'}),0.29,0.29,0.1,0.36,1.25,0.02,1.11
frozenset({'SiO2_1'}),frozenset({'CaO_1'}),0.29,0.33,0.1,0.36,1.09,0.01,1.05
frozenset({'P2O5_1'}),frozenset({'Fe2O3_1'}),0.29,0.27,0.1,0.36,1.35,0.03,1.14
frozenset({'K2O_1'}),frozenset({'CuO_1'}),0.35,0.22,0.12,0.35,1.57,0.04,1.2
frozenset({'SrO_1'}),frozenset({'P2O5_1'}),0.41,0.29,0.14,0.35,1.23,0.03,1.1
frozenset({'SrO_1'}),frozenset({'CaO_1'}),0.41,0.33,0.14,0.35,1.07,0.01,1.04
frozenset({'PbO_1'}),frozenset({'SiO2_0'}),0.41,0.33,0.14,0.35,1.07,0.01,1.04
frozenset({'Al2O3_1'}),frozenset({'CaO_1'}),0.41,0.33,0.14,0.35,1.07,0.01,1.04
frozenset({'MgO_1'}),frozenset({'CaO_1'}),0.47,0.33,0.16,0.35,1.07,0.01,1.03
frozenset({'SnO2_0'}),frozenset({'SiO2_0'}),0.9,0.33,0.31,0.34,1.04,0.01,1.02
frozenset({'Na2O_0'}),frozenset({'SiO2_1'}),0.8,0.29,0.27,0.33,1.17,0.04,1.07
frozenset({'SrO_0'}),frozenset({'SiO2_1'}),0.51,0.29,0.16,0.32,1.12,0.02,1.05
frozenset({'SO2_0'}),frozenset({'SiO2_1'}),0.9,0.29,0.29,0.32,1.11,0.03,1.05
frozenset({'BaO_0'}),frozenset({'Fe2O3_1'}),0.78,0.27,0.24,0.32,1.19,0.04,1.07
frozenset({'SiO2_2'}),frozenset({'Na2O_1'}),0.39,0.14,0.12,0.32,2.21,0.07,1.25
frozenset({'CuO_0'}),frozenset({'Fe2O3_1'}),0.71,0.27,0.22,0.31,1.18,0.03,1.07
frozenset({'CaO_1'}),frozenset({'CuO_1'}),0.33,0.22,0.1,0.31,1.39,0.03,1.13
frozenset({'CaO_1'}),frozenset({'Fe2O3_1'}),0.33,0.27,0.1,0.31,1.18,0.02,1.07
frozenset({'CaO_1'}),frozenset({'SiO2_1'}),0.33,0.29,0.1,0.31,1.09,0.01,1.04
frozenset({'Na2O_0'}),frozenset({'Fe2O3_1'}),0.8,0.27,0.24,0.31,1.16,0.03,1.06
frozenset({'MgO_1'}),frozenset({'Fe2O3_1'}),0.47,0.27,0.14,0.3,1.15,0.02,1.06
frozenset({'PbO_0'}),frozenset({'CuO_1'}),0.47,0.22,0.14,0.3,1.36,0.04,1.11
frozenset({'SrO_1'}),frozenset({'CaO_2'}),0.41,0.14,0.12,0.3,2.1,0.06,1.22
frozenset({'SrO_1'}),frozenset({'Fe2O3_1'}),0.41,0.27,0.12,0.3,1.13,0.01,1.05
frozenset({'SrO_1'}),frozenset({'CuO_1'}),0.41,0.22,0.12,0.3,1.34,0.03,1.11
frozenset({'SO2_0'}),frozenset({'Fe2O3_1'}),0.9,0.27,0.27,0.3,1.11,0.03,1.04
frozenset({'SnO2_0'}),frozenset({'P2O5_1'}),0.9,0.29,0.27,0.3,1.03,0.01,1.01
frozenset({'K2O_1'}),frozenset({'Fe2O3_1'}),0.35,0.27,0.1,0.29,1.11,0.01,1.04
frozenset({'SrO_0'}),frozenset({'Fe2O3_1'}),0.51,0.27,0.14,0.28,1.06,0.01,1.02
frozenset({'MgO_1'}),frozenset({'CuO_1'}),0.47,0.22,0.12,0.26,1.16,0.02,1.05
frozenset({'Fe2O3_0'}),frozenset({'CuO_1'}),0.71,0.22,0.18,0.26,1.15,0.02,1.04
frozenset({'PbO_1'}),frozenset({'CaO_2'}),0.41,0.14,0.1,0.25,1.75,0.04,1.14
frozenset({'Al2O3_1'}),frozenset({'CuO_1'}),0.41,0.22,0.1,0.25,1.11,0.01,1.03
frozenset({'Al2O3_1'}),frozenset({'CaO_2'}),0.41,0.14,0.1,0.25,1.75,0.04,1.14
frozenset({'SnO2_0'}),frozenset({'CuO_1'}),0.9,0.22,0.22,0.25,1.11,0.02,1.03
frozenset({'SrO_0'}),frozenset({'Na2O_1'}),0.51,0.14,0.12,0.24,1.68,0.05,1.13
frozenset({'CaO_0'}),frozenset({'Na2O_1'}),0.53,0.14,0.12,0.23,1.62,0.05,1.11
frozenset({'Al2O3_0'}),frozenset({'CuO_1'}),0.53,0.22,0.12,0.23,1.03,0.0,1.01
frozenset({'P2O5_0'}),frozenset({'Na2O_1'}),0.65,0.14,0.14,0.22,1.53,0.05,1.1
frozenset({'MgO_1'}),frozenset({'CaO_2'}),0.47,0.14,0.1,0.22,1.52,0.03,1.1
frozenset({'MgO_0'}),frozenset({'BaO_2'}),0.51,0.1,0.1,0.2,1.96,0.05,1.12
frozenset({'MgO_0'}),frozenset({'Na2O_1'}),0.51,0.14,0.1,0.2,1.4,0.03,1.07
frozenset({'CuO_0'}),frozenset({'Na2O_1'}),0.71,0.14,0.14,0.2,1.4,0.04,1.07
frozenset({'Al2O3_0'}),frozenset({'BaO_1'}),0.53,0.12,0.1,0.19,1.57,0.04,1.09
frozenset({'Al2O3_0'}),frozenset({'BaO_2'}),0.53,0.1,0.1,0.19,1.88,0.05,1.11
frozenset({'BaO_0'}),frozenset({'Na2O_1'}),0.78,0.14,0.14,0.18,1.29,0.03,1.05
frozenset({'BaO_0'}),frozenset({'CaO_2'}),0.78,0.14,0.14,0.18,1.29,0.03,1.05
frozenset({'Na2O_0'}),frozenset({'CaO_2'}),0.8,0.14,0.14,0.18,1.26,0.03,1.04
frozenset({'Fe2O3_0'}),frozenset({'Na2O_1'}),0.71,0.14,0.12,0.17,1.2,0.02,1.03
frozenset({'Fe2O3_0'}),frozenset({'PbO_2'}),0.71,0.12,0.12,0.17,1.4,0.03,1.06
frozenset({'CuO_0'}),frozenset({'CaO_2'}),0.71,0.14,0.12,0.17,1.2,0.02,1.03
frozenset({'K2O_0'}),frozenset({'Na2O_1'}),0.61,0.14,0.1,0.17,1.17,0.01,1.03
frozenset({'K2O_0'}),frozenset({'PbO_2'}),0.61,0.12,0.1,0.17,1.36,0.03,1.05
frozenset({'K2O_0'}),frozenset({'CaO_2'}),0.61,0.14,0.1,0.17,1.17,0.01,1.03
frozenset({'SO2_0'}),frozenset({'Na2O_1'}),0.9,0.14,0.14,0.16,1.11,0.01,1.02
frozenset({'SO2_0'}),frozenset({'CaO_2'}),0.9,0.14,0.14,0.16,1.11,0.01,1.02
frozenset({'SnO2_0'}),frozenset({'Na2O_1'}),0.9,0.14,0.14,0.16,1.11,0.01,1.02
frozenset({'BaO_0'}),frozenset({'PbO_2'}),0.78,0.12,0.12,0.16,1.29,0.03,1.04
frozenset({'Na2O_0'}),frozenset({'PbO_2'}),0.8,0.12,0.12,0.15,1.26,0.02,1.04
frozenset({'Fe2O3_0'}),frozenset({'BaO_1'}),0.71,0.12,0.1,0.14,1.17,0.01,1.02
frozenset({'Fe2O3_0'}),frozenset({'BaO_2'}),0.71,0.1,0.1,0.14,1.4,0.03,1.05
frozenset({'CuO_0'}),frozenset({'PbO_2'}),0.71,0.12,0.1,0.14,1.17,0.01,1.02
frozenset({'SO2_0'}),frozenset({'PbO_2'}),0.9,0.12,0.12,0.14,1.11,0.01,1.02
frozenset({'SO2_0'}),frozenset({'BaO_1'}),0.9,0.12,0.12,0.14,1.11,0.01,1.02
frozenset({'SnO2_0'}),frozenset({'BaO_1'}),0.9,0.12,0.12,0.14,1.11,0.01,1.02
frozenset({'SnO2_0'}),frozenset({'PbO_2'}),0.9,0.12,0.12,0.14,1.11,0.01,1.02
frozenset({'Na2O_0'}),frozenset({'BaO_1'}),0.8,0.12,0.1,0.13,1.05,0.0,1.01
frozenset({'Na2O_0'}),frozenset({'BaO_2'}),0.8,0.1,0.1,0.13,1.26,0.02,1.03
frozenset({'SnO2_0'}),frozenset({'BaO_2'}),0.9,0.1,0.1,0.11,1.11,0.01,1.01
